Id,Series Name,Series Category,Model,Start Year ,End Year,Description,Photo,Label
1,356,356,356/2,1948,1950,"Features:
Aluminium body // Bumpers flush with the body // Windscreen in two parts and divided by bar // Porsche logo on luggage compartment lid // Trafficators instead of direction indicators (in early models)",/images/Id_1.jpg,Classics by Series
2,356,356,356 1100,1950,1954,"Features:
Bumpers flush with the body; set apart from the body and with bumper guards as of model year 1953 // Windscreen in two parts and divided by bar; one-piece with bend in the centre (""bent window"") as of model year 1953 // Short handle on luggage compartment lid; long and with Porsche Crest as of model year 1954 // Rectangular tail lights; round as of model year 1953 // Round and flat front direction indicators; integrated in horn grille as of model year 1954 // Round rear direction indicators below tail lights; adjacent to tail lights as of model year 1953 // Number plate lighting and brake lights in chrome housing above number plate; brake lights integrated in tail light as of model year 1953
Cabriolet: Padded fabric hood with small glass rear window; with enlarged, flexible plastic rear window as of 04/1953",/images/Id_2.jpg,Classics by Series
3,356,356,356 1300,1951,1953,"Features:
Bumpers flush with the body; detached from the body and with bumper guards as of model year 1953 // Windscreen in two parts and divided by bar; one-piece with bend in the center (""bent window"") as of model year 1953 // Short handle on luggage compartment lid // Rectangular tail lights; round as of model year 1953 // Round and flat front direction indicators // Round rear direction indicators below tail lights; adjacent to tail lights as of model year 1953 // Number plate lighting and brake lights in chrome housing above number plate
Cabriolet: Padded fabric hood with small glass rear window; with enlarged, flexible plastic rear window as of 04/1953",/images/Id_3.jpg,Classics by Series
4,356,356,356 1500,1952,1952,"Features:
Bumpers flush with body // Windscreen in two parts and divided by bar // Short handle on luggage compartment lid // Rectangular tail lights // Round, flat front direction indicators // Round rear direction indicators, below tail lights // Number plate lighting and brake lights in chrome housing above number plate
Cabriolet: Padded fabric hood with small glass rear window",/images/Id_4.jpg,Classics by Series
5,356,356,356 1500,1953,1955,"Features:
Bumpers set apart from body and with bumper guards // One-piece windscreen with bend in the center (""bent window"") // Longer handle with opening on luggage compartment lid; with Porsche Crest as of model year 1954 // Round tail lights // Round, flat front direction indicators; integrated in horn grille as of model year 1954 // Round rear direction indicators adjacent to tail lights // Brake lights integrated in tail light // Number plate lighting in chrome housing above number plate
Cabriolet: Padded fabric hood with small glass rear window; with enlarged, flexible plastic rear window as of 04/1953",/images/Id_5.jpg,Classics by Series
6,356,356,356 1500 Super,1953,1955,"Features:
Bumpers set apart from body and with bumper guards // One-piece windscreen with bend in the center (""bent window"") // Short handle on luggage compartment lid; long and with Porsche Crest as of model year 1954 // Round tail lights // Round, flat front direction indicators; integrated in horn grille as of model year 1954 // Round rear direction indicators adjacent to tail lights // Brake lights integrated in tail light // Number plate lighting in chrome housing above number plate
Cabriolet: Padded fabric hood with small glass rear window; with enlarged, flexible plastic rear window as of 04/1953",/images/Id_6.jpg,Classics by Series
7,356,356,356 1300,1954,1955,"Features:
Bumpers set apart from body and with bumper guards // One-piece windscreen with bend in the center (""bent window"") // Long handle with Porsche Crest on luggage compartment lid // Round tail lights // Round, flat front direction indicators integrated in horn grille // Round rear direction indicators adjacent to tail lights // Brake lights integrated in tail light // Number plate lighting in chrome housing above number plate
Cabriolet: Padded fabric hood with enlarged, flexible plastic rear window",/images/Id_7.jpg,Classics by Series
8,356,356,356 1300 Super,1954,1955,"Features:
Bumpers set apart from body and with bumper guards // One-piece windscreen with bend in the center (""bent window"") // Long handle with Porsche Crest on luggage compartment lid // Round tail lights // Round, flat front direction indicators integrated in horn grille // Round rear direction indicators adjacent to tail lights // Brake lights integrated in tail light // Number plate lighting in chrome housing above number plate
Cabriolet: Padded fabric hood with enlarged, flexible plastic rear window",/images/Id_8.jpg,Classics by Series
9,356,356,356 1500 Speedster,1955,1955,"Features:
Bumpers set apart from body and with bumper guards // One-piece curved windscreen with rounded top corners // Window inserts in doors // Long handle with Porsche Crest on luggage compartment lid // Round tail lights // Round, flat front direction indicators integrated in horn grille // Round rear direction indicators adjacent to tail lights // Brake lights integrated in tail light // Number plate lighting in chrome housing above number plate // Unpadded fabric hood with flexible plastic rear window // Chrome trims at level of door handles // ""Speedster"" logo on front wings",/images/Id_9.jpg,Classics by Series
10,356,356,356 1500 Super Speedster,1955,1955,"Features:
Bumpers set apart from body and with bumper guards // One-piece curved windscreen with rounded top corners // Window inserts in doors // Long handle with Porsche Crest on luggage compartment lid // Round tail lights // Round, flat front direction indicators integrated in horn grille // Round rear direction indicators adjacent to tail lights // Brake lights integrated in tail light // Number plate lighting in chrome housing above number plate // Unpadded fabric hood with flexible plastic rear window // Chrome trims at level of door handles // ""Speedster"" logo on front wings",/images/Id_10.jpg,Classics by Series
11,356,356 A,356 A 1300,1956,1957,"Features:
Bumpers set apart from body and with bumper guards // One-piece curved windscreen // Long, narrow handle with Porsche Crest on luggage compartment lid // Round tail lights; teardrop-shaped as of 03/57 // Round, flat front direction indicators integrated in horn grille // Round rear direction indicators adjacent to tail lights; integrated in tail lights as of 03/57 // Brake lights integrated in tail light // Number plate lighting in chrome housing above number plate",/images/Id_11.jpg,Classics by Series
12,356,356 A,356 A 1300 Super,1956,1957,"Features:
Bumpers set apart from body and with bumper guards // Sill trims // One-piece curved windscreen // Long, narrow handle with Porsche Crest on luggage compartment lid // Round tail lights; teardrop-shaped as of 03/57 // Round, flat front direction indicators integrated in horn grille // Round rear direction indicators adjacent to tail lights; integrated in tail lights as of 03/57 // Brake lights integrated in tail light // Number plate lighting in chrome housing above number plate",/images/Id_12.jpg,Classics by Series
13,356,356 A,356 A 1600,1956,1959,"Features:
Bumpers set apart from body and with bumper guards // Sill trims // One-piece curved windscreen // Long, narrow handle with Porsche Crest on luggage compartment lid // Round tail lights; teardrop-shaped as of 03/57 // Round, flat front direction indicators integrated in horn grille // Round rear direction indicators adjacent to tail lights; integrated in tail lights as of 03/57 // Brake lights integrated in tail light // Number plate lighting in chrome housing above number plate; below number plate as of MY 1958",/images/Id_13.jpg,Classics by Series
14,356,356 A,356 A 1600 Speedster,1956,1958,"Features:
Bumpers set apart from body and partially with bumper guards // One-piece curved windscreen with rounded top corners // Window inserts in doors // Long, narrow handle with Porsche Crest on luggage compartment lid // Round tail lights; teardrop-shaped as of 03/57 // Round, flat front direction indicators integrated in horn grille // Round rear direction indicators adjacent to tail lights; integrated in tail lights as of 03/57 // Brake lights integrated in tail light // Number plate lighting in chrome housing above number plate; below number plate as of MY 1958 // Unpadded fabric hood with flexible plastic rear window // Chrome trims at level of door handles // ""Speedster"" logo on front wings",/images/Id_14.jpg,Classics by Series
15,356,356 A,356 A 1600 Super,1956,1959,"Features:
Bumpers set apart from body and with bumper guards // Sill trims // One-piece curved windscreen // Long, narrow handle with Porsche Crest on luggage compartment lid // Round tail lights; teardrop-shaped as of 03/57 // Round, flat front direction indicators integrated in horn grille // Round rear direction indicators adjacent to tail lights; integrated in tail lights as of 03/57 // Brake lights integrated in tail light // Number plate lighting in chrome housing above number plate; below number plate as of MY 1958",/images/Id_15.jpg,Classics by Series
16,356,356 A,356 A 1600 Super Speedster,1956,1958,"Features:
Bumpers set apart from body and partially with bumper guards // Sill trims // One-piece curved windscreen with rounded top corners // Window inserts in doors // Long, narrow handle with Porsche Crest on luggage compartment lid // Round tail lights; teardrop-shaped as of 03/57 // Round, flat front direction indicators integrated in horn grille // Round rear direction indicators adjacent to tail lights; integrated in tail lights as of 03/57 // Brake lights integrated in tail light // Number plate lighting in chrome housing above number plate; below number plate as of MY 1958 // Unpadded fabric hood with flexible plastic rear window // Chrome trims at level of door handles // ""Speedster"" logo on front wings",/images/Id_16.jpg,Classics by Series
