Id,Series Name,Series Category ,Series Description,Photo
1,356,356,"On 8 June 1948, the first car to bear the Porsche name was road-certified: the Porsche 356/1 Roadster produced in Gmünd (in Carinthia, Austria).

The ""Gmünd Roadster"" was powered by a 1.1-liter air-cooled flat-four engine from Volkswagen. The engine's power was increased to 35 hp for the 356. The roadster weighed just 585 kilograms and reached speeds of up to 135 km/h (83 mph).

The original 356 (also called ""pre-A"") is easy to recognize from its two-piece windscreen divided by a center bar. This was replaced by a single-piece windscreen with a center bend as of model year 1952.
All 356 generations were also available in an open-top version (Cabriolet, Speedster or Roadster).",/images/Id_b_1.jpg
2,356,356 A,"In model year 1956, the 356 was replaced by the comprehensively enhanced 356 A. As from its market launch, this type was available with five four-cylinder engines:

- 356 A 1300 with 44 hp
- 356 A 1300 Super with 60 hp
- 356 1600 with 60 hp
- 356 A 1600 Super with 75 hp
- 356 A 1500 GS Carrera with 100 hp

The modifications to the vehicle were part of ""Technical Programme 1"" (T1). One of the key visual differences between the A series and the original 356 was a single-piece, curved panoramic windscreen. The front indicators were always integrated in the horn grille and all models had a modified front lid handle with inset Porsche Crest. The tail lights were teardrop-shaped as of 03/1957.

The 1300 models were discontinued in model year 1958 (T2). The tailpipes of the 1600 models ended between the bumper guards to give more ground clearance. The chrome-plated housing with number plate lighting and reversing light was mounted below the number plate.

All 356 generations were also available in an open-top version (Cabriolet, Speedster or Convertible D).

From the type 356 onwards, particularly sporty versions were given the additional designation ""Carrera"" and were powered by a Fuhrmann engine.

This power unit, named after designer Ernst Fuhrmann, was characterised by four overhead camshafts, which were driven by bevel-gear shafts. The engine also featured a dual ignition with two separate distributors.",/images/Id_b_2.jpg
3,356,356 B,"In model year 1960, the 356 A was replaced by the completely redesigned 356 B (T5). Its power spectrum ranged from 60 hp in the 356 B 1600 to 140 hp in the 356 B 2000 GS-GT Carrera 2.

The key visual differences between the B series and the previous model included the front bumper with enlarged rim guards, which was positioned approx. ten centimetres higher, and the headlights, which were also positioned much higher. The horn grilles next to the further-protruding front indicators were flatter and featured two chrome-plated slats. The front lid handle was also wider at the bottom. The two lamps for the number plate lighting were integrated in the higher-positioned rear bumper, while the reversing light was mounted below the bumper.

For model year 1962 (T6), the 356 B received a front lid that had been significantly widened at the bottom and a tank cap in the front right wing. Two vertical ventilation grilles were integrated in the enlarged bonnet.

All 356 generations were also available in an open-top version (Cabriolet, Speedster or Roadster).

From the type 365 A onwards, particularly sporty versions were given the additional designation ""Carrera"" and were powered by a Fuhrmann engine.

This power unit, named after designer Ernst Fuhrmann, was characterised by four overhead camshafts, which were driven by bevel-gear shafts. The engine also featured a dual ignition with two separate distributors.",/images/Id_b_3.jpg
4,356,356 C,"In model year 1964, the 356 C replaced the 356 B. The range of engines was reduced to three and the existing 60 hp variant was discontinued. Instead, the 75 hp engine of the B 1600 Super represented the entry-level engine. The top-of-the-range engine in the 356 C 2000 GS Carrera delivered a power output of 130 hp.

Visually, there was very little difference between the C series and the B series. One striking change was the modified rims with flatter hub caps without Porsche Crest. The new hub cap design was the result of the fact that all 356 models were now equipped with disc brakes as standard. The B type also featured a round exterior mirror.

The last Porsche 356 C was delivered in May 1966.

All 356 generations were also available in an open-top version (Cabriolet, Speedster or Roadster).

From the type 365 A onwards, particularly sporty versions were given the additional designation ""Carrera"" and were powered by a Fuhrmann engine.

This power unit, named after designer Ernst Fuhrmann, was characterised by four overhead camshafts, which were driven by bevel-gear shafts. The engine also featured a dual ignition with two separate distributors.",/images/Id_b_4.jpg
5,911,901,"In September 1963, Porsche presented the Porsche 901 at the IAA in Frankfurt as a successor to the Porsche 356.

Series production of the 901 began in September 1964. When Porsche presented the vehicle at the Paris Motor Show in October of that year, the French car manufacturer Peugeot objected to the model designation. The reason: Peugeot had trademarked a three-digit type designation with a zero in the middle.

Porsche therefore renamed the 901 as the 911. This combination of numbers is the same as the emergency number in the USA and was therefore already well known in this key market for Porsche. 82 units of the 901 were produced before the name change.",/images/Id_b_5.jpg
6,911,911,"In September 1963, Porsche presented the Porsche 901 at the IAA in Frankfurt as a successor to the Porsche 356. One year later, as of model year 1965, series production of the model began and it was renamed the 911 shortly thereafter.

Originally built only as a Coupé, the 911 had an integral body-frame and was powered by a new 2.0-litre flat-six engine, which initially delivered 130 hp.

As of model year 1967, the 911 was also available as a ""safety cabriolet"" (Targa) with permanently mounted roll-over bar and removable soft top. As of model year 1969, the wheelbase was lengthened by 57 mm, resulting in increased driving comfort and simultaneously more stable driving dynamics.

The 911 S, the first engine derivative of the 911, was also launched on the market. In the years that followed, models bearing the additional designations T, L and E were launched.

911 Targa (1967-1973)
Porsche introduced the Targa model in response to increased safety requirements for open-top vehicles in the USA. Thanks to the fixed bar, the occupants were protected from injury in the event of the vehicle overturning.

911 S (MY 1967-73)
Due to various engine modifications, the sports version of the 911 initially had a power output of 160 hp, ultimately increasing to 190 hp. In addition to superior equipment, the S model was the first 911 to be given ""Fuchs"" rims with their distinctive 5-spoke design.

911 T (MY 1968-73)
The ""Touring"" version became the new entry-level model in the 911 family, initially developing 110 hp and later 130 hp. Its equipment matched that of the four-cylinder 912 model. One of the ways in which it could be distinguished from more powerful models was the fact that it had a silver rather than a gold logo.

911 L (MY 1968)
With the introduction of the T version as the new standard model, with a less powerful engine and 4-speed manual transmission, the previous 911 was renamed the 911 L. The engine remained unchanged.

911 E (MY 1969-73)
The existing 2.0-litre engines entered their final year of construction in MY 1969 and were replaced by new 2.2-litre engines. The L version was renamed the 911 E following the introduction of the new generation of engines and delivered power outputs of between 140 hp and 165 hp.",/images/Id_b_6.jpg
7,911,911 & 911S,"For model year 1974, the body design of the Porsche 911 was comprehensively redesigned for the first time. In addition to a Coupé and a Targa version, a Cabriolet was also available as of model year 1983.

The most striking feature of this 911 generation is the raised bumper design with black plastic bellows. Between the tail lights of the G models is a red panel and a Porsche logo that is red or black, depending on the model year. The rear number plate is flanked by two large rubber buffers with integrated number plate lighting.

The raised bumpers with bellows of the G models were the result of more stringent approval regulations in the USA. With the introduction of these regulations, bumpers had to be able to absorb impacts as a result of hitting a fixed obstacle at speeds of up to 5 mph (8 km/h) without damage to the body. To meet this requirement, vehicles for the US market had the bumpers connected to the body using hydraulic impact absorbers.

For models not intended for the US market, more cost-effective impact pipes were installed instead of these hydraulic impact absorbers. These had to be replaced after a rear-end collision. However, the impact absorbers could be ordered as optional equipment.

Surrounds/door handles
The 911 and 911 S had chrome-plated window surrounds and door handles.

Wheels
The 911 and 911 S were fitted with 15"" cast aluminium wheels from ATS as standard.

Exterior mirrors
The standard 911 model had chrome-plated exterior mirrors until MY 1975. 
As of MY 1976, larger, electrically adjustable exterior mirrors painted in the exterior colour were installed.
The 911 S only had chrome-plated exterior mirrors in MY 1974.

Engines
The standard 911 model had a flat-six engine with a displacement of 2.7 litres. This initially developed 150 hp and 165 hp as of MY 1976.
The engine of the 911 S delivered an output of 175 hp.

Headlamp rings
The headlamp rings of the 911/911 S were chrome-plated.",/images/Id_b_7.jpg
8,911,911 Carrera,"No Carrera models were produced from model years 1978 to 1983. The only model with naturally aspirated engine produced during this period was the 911 SC.

Surrounds/door handles
In contrast to the 911/911 S, the window surrounds and door handles of the Carrera models were anodised black.

Wheels
The 911 Carrera was fitted with 15"" forged alloy wheels from Fuchs as standard. 16"" wheels became standard as of MY 1989.

Exterior mirrors
The 911 Carrera models initially had chrome-plated exterior mirrors. As of MY 1976, larger, electrically adjustable exterior mirrors painted in the exterior colour were installed.

Engines
The displacement of the 911 Carrera engine was increased several times during the production period of the G series and the power output varied.
- MY 1974-75 - Displacement: 2.7 litres, power: 210 hp
- MY 1975-77 - Displacement: 3.0 litres, power: 200 hp
- MY 1984-89 - Displacement: 3.2 litres, power: 207 hp – 231 hp

Body
The body of the Carrera was slightly wider than that of the 911/911 S in the area of the rear wings.
Carrera models as of MY 1984 are recognisable by the side direction indicators in the front wings.
As of MY 1984, the 911 Carrera was optionally available with a front spoiler made from polyurethane (PU) and a flat rear wing with a black, hard rubber border, which was specifically designed for this model.

Headlamp rings
The headlamp rings of the 911 Carrera were initially chrome-plated, as of MY 1976 they were painted in the exterior colour.",/images/Id_b_8.jpg
9,911,911 SC,"In model year 1978, the 911 model range was reduced to two models. The 911 SC (Super Carrera) took the place of the 911 and Carrera models.

As of model year 1984, the SC version was again replaced by the 911 Carrera.

Surrounds/door handles
Until model year 1978, the window surrounds and door handles of the 911 SC were chrome-plated, like those of the previous 911 models; as of model year 1979, they were anodized black – as in the Carrera models.

Wheels
The 911 SC was fitted with 15"" cast aluminium wheels from ATS as standard.

Exterior mirrors
The exterior mirrors of the 911 SC were electrically adjustable and painted in the exterior color.

Engines
The 911 SC was powered by a 3.0-liter flat engine, the output of which was increased slightly over the years.- model year 1978-79 - 3.0 liters, 180 hp
- model year 1980 - 3.0 liters, 188 hp
- model year 1981-83 - 3.0 liters, 204 hp

Body
The 911 SC had the wider body of the 911 Carrera. Vehicles produced as of model year 1981 are recognizable from the side direction indicators behind the front wings.
As of model year 1983, the 911 SC Cabriolet became the first fully open-top 911 with fabric hood and was available along with the Coupé version and the Targa ""safety cabriolet"".

Headlamp rings
The headlamp rings of the 911 SC were initially chrome-plated, as of model year 1979 they were painted in the exterior color.",/images/Id_b_9.jpg
10,911,911 Turbo,"In model year 1975, thanks to turbocharging, a particularly powerful version of the Porsche 911 – the 911 Turbo – came onto the market.

Since its market launch in MY 1975, the 911 Turbo (initially named internally as the 930) has been the top-of-the-range model in the 911 model line.

The 930 featured flared rear wings, which gave it an extra 12 cm in width. Black stone guard film was applied in front of the rear wheel arches. The rear lid featured a distinctive rear wing with a wide black hard-rubber border.

Until MY 1977, the rear lid was made of glass fibre-reinforced plastic. As of MY 1978, the lid was made from sheet steel and the fixed plastic rear wing for mounting the charge-air cooler was made much bigger. The Turbo was also given an exhaust system with twin tailpipe. Exhaust gases only escaped through the left pipe when the boost-pressure control valve of the turbocharger was open.

As of MY 1987, the Turbo model was also available in the Targa and Cabriolet body types.For MY 1989, the 4-speed manual transmission was replaced with a 5-speed version.

Displacement/power:
- MY 1975-77 - 3.0 litres, 260 hp
- MY 1978-89 - 3.3 litres, 300 hp",/images/Id_b_10.jpg
